RUN #,FINAL MODULARITY,TIME TAKEN
0,0.40326953557234196,9024.43778801
1,0.4030539420244284,9011.53937697
2,0.4021765566329601,9084.25286508
3,0.40260278810826566,9018.18284893
4,0.40217655663296165,9055.06739497
5,0.40327328837237597,9030.05380201
6,0.4021765566329653,9068.51321316
7,0.4023959029807534,9022.54555702
8,0.40217655663294577,9039.77789903
9,0.40305394202448186,9024.41647005
