Repository_Name,Has_Clustering_File,Cluster_Count,Total_Item_Count,Dependency_Count,Modularity,Directed_Modularity,MGMC_Cluster_Count,MGMC_Total_Item_Count,MGMC_Dependency_Count,MGMC_Modularity,MGMCDirected_Modularity
archstudio,True,57,583,866,0.6604186810896538,0.3689936476273304,15,418,866,1.5550102860021817,0.7238744673020823
bash,True,14,373,2508,0.3337310848287457,0.12853732489844352,3,234,2508,1.2240810738104917,0.3099938251820683
chromium,True,69,18724,773150,1.092091117773167,0.27587381364168007,24,17565,773150,1.7618041662390953,0.5087462077615541
hadoop,True,67,772,1661,0.38130037463674343,0.14140528126756996,10,469,1661,1.2818623147756099,0.5146925192855814
itk,True,13,7657,50814,1.214996520382193,0.35942262842117184,35,7016,50814,1.395878215255074,0.7030874800757912
lucene,False,0,1611,13340,0.0,0.0,8,1611,13340,0.7957586071400786,0.33734545583307024
nutch,False,0,977,5419,0.0,0.0,11,977,5419,0.7797744367753509,0.39233294402242636
openjpa,False,0,3114,35827,0.0,0.0,12,3114,35827,0.6700869745195687,0.4408282976272481
struts2,False,0,738,4559,0.0,0.0,7,738,4559,0.9117702995411328,0.38536146271837945
