RUN #,FINAL MODULARITY,TIME TAKEN
0,0.33741437289063186,9003.24091005
1,0.3377177084369074,9000.07653308
2,0.33709959071982065,9005.66046095
3,0.3378830485670081,9011.58164501
4,0.33771770843690085,9014.13597703
5,0.3381164325198394,9005.57495403
6,0.3381164325198349,9013.02716494
7,0.3381164325198387,9002.75730896
8,0.3373189843539719,9012.41122913
9,0.33811643251984264,9001.96046996
