Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,5.32188796997,6.60187196732,0.06488232870191918
1,5.42103004456,12.0229520798,0.12082420783030513
2,6.48050689697,18.5035059452,0.17791456494139385
3,8.88756394386,27.3911180496,0.19932293216839833
4,12.4568281174,39.8479940891,0.22488133666161994
5,15.4417028427,55.2897469997,0.23243038544632336
6,16.9166300297,72.2064239979,0.23568599620021533
7,19.6405789852,91.847053051,0.23999533232145465
8,16.8090860844,108.656186104,0.23999533232145465
9,15.3081870079,123.964421034,0.23999533232145465
10,18.3121049404,142.276570082,0.23999533232145465
11,16.9148468971,159.191462994,0.23999533232145465
12,16.4061410427,175.597648144,0.23999533232145465
13,17.5312519073,193.12894702,0.2402509735995333
14,16.9584820271,210.087475061,0.2402509735995333
15,15.240842104,225.328360081,0.2402509735995333
16,17.7171039581,243.045511961,0.24084397233519036
17,18.4393510818,261.484908104,0.2412274342522491
18,18.8048648834,280.289818048,0.2412274342522491
19,18.3733439445,298.663203955,0.2412274342522491
20,15.5946481228,314.257897139,0.2412274342522491
21,14.422317028,328.680261135,0.2412274342522491
22,17.0597729683,345.740081072,0.24162552241161914
23,13.3456242085,359.085754156,0.24162552241161914
24,14.7247011662,373.810500145,0.24162552241161914
25,14.0784468651,387.888993979,0.24162552241161914
26,13.3713130951,401.260352135,0.24162552241161914
27,14.2452340126,415.50563097,0.24184523400755492
28,12.914855957,428.420535088,0.24184523400755492
29,13.2745981216,441.695186138,0.24192885795794258
30,13.2020320892,454.897262096,0.24192885795794258
31,13.6286051273,468.525915146,0.24192885795794258
32,14.1263079643,482.652271032,0.24197337260834936
33,15.1461510658,497.79847002,0.24228942662626549
34,17.4773240089,515.275838137,0.24228942662626549
35,15.9884090424,531.264297009,0.24228942662626549
36,18.1600527763,549.424397945,0.24239467197828612
37,16.0617878437,565.486232996,0.24259689567593995
38,15.8333630562,581.319641113,0.24259689567593995
39,16.8828120232,598.202501059,0.24259689567593995
40,16.806415081,615.008965015,0.24259689567594026
41,15.511961937,630.520972967,0.24259689567594026
42,16.8707439899,647.391772985,0.24281819708082164
43,16.6524260044,664.044242144,0.24281819708082164
44,15.1978080273,679.242097139,0.24375109696854338
45,15.2654969692,694.507640123,0.2437510969685436
46,16.0943181515,710.602002144,0.2437510969685436
47,17.5619051456,728.163957119,0.2437510969685436
48,18.7851212025,746.949128151,0.24380387862538175
49,18.5471410751,765.496322155,0.2438038786253818
50,17.2325251102,782.728891134,0.2438038786253818
51,14.193297863,796.922235012,0.2438038786253818
52,14.0991680622,811.021450996,0.24386301951807457
53,15.07553792,826.097039938,0.24424489162630786
54,14.9275870323,841.024676085,0.24424489162630786
55,14.7874391079,855.812158108,0.24424489162630786
56,16.416246891,872.22845602,0.2442677848751067
57,19.1273880005,891.355890036,0.2442677848751067
58,16.8920929432,908.248028994,0.2444146832214008
59,15.635518074,923.883597136,0.24468145316198547
60,17.9354889393,941.819133043,0.24468145316198547
61,17.0203371048,958.839517117,0.2446814531619855
62,15.5646400452,974.404201984,0.2446852687035156
63,17.623511076,992.027759075,0.2446852687035156
64,17.8178811073,1009.84568405,0.24474091201646317
65,17.6811909676,1027.52692199,0.24474091201646322
66,15.8917479515,1043.418715,0.24478383685799424
67,15.6444680691,1059.06323004,0.24485951176370752
68,15.7756910324,1074.83897114,0.24507254616194837
69,18.2182109356,1093.0572331,0.24507254616194837
70,18.064756155,1111.12203813,0.24507254616194837
71,19.0313589573,1130.15344095,0.24507254616194837
72,16.9544429779,1147.107934,0.24507254616194837
73,15.9628798962,1163.07085896,0.24526364119698177
74,16.2231578827,1179.294065,0.24526364119698177
75,15.0151569843,1194.30927205,0.24526364119698185
76,16.0642678738,1210.37358904,0.24526364119698185
77,16.8892970085,1227.26293397,0.24526364119698185
