Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,569.553445816,707.384333849,0.049252824862362224
1,581.353482008,1288.73786998,0.06599876598486853
2,686.767490149,1975.50541401,0.0774225930518137
3,758.096580029,2733.60204792,0.08835653387766237
4,880.344325066,3613.94642901,0.10838581084331488
5,935.263616085,4549.21010089,0.11843727311807353
6,861.921540022,5411.13169694,0.12466002755794074
7,890.588757992,6301.72051191,0.12466002755794074
8,951.344763994,7253.06533289,0.1299890871661164
9,955.369371891,8208.43476391,0.1299890871661164
10,940.046673059,9148.4814949,0.13091455396794624
