Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,222.779216051,278.259845018,0.02970277979474645
1,235.871219873,514.13112092,0.040147823389877074
2,262.659433126,776.790611982,0.08722669025326951
3,326.567388058,1103.35805798,0.12294094706786271
4,484.932749033,1588.29086399,0.14548596391492333
5,524.092912912,2112.38383389,0.15988262240736822
6,613.821976185,2726.20586705,0.17153122464298848
7,586.126024008,3312.3319459,0.17153122464298848
8,485.971258879,3798.30325985,0.17221139430314003
9,534.224502087,4332.52781701,0.17310380791640298
10,522.290733099,4854.81860805,0.17310380791640298
11,554.37252593,5409.19120884,0.17500469780132
12,687.977695942,6097.168957,0.17500469780132
13,616.829610825,6713.99862385,0.17693948378166738
14,544.44543004,7258.44410992,0.17693948378166738
15,573.261338949,7831.70550489,0.17884516137768686
16,535.045727968,8366.75129294,0.1825727203867746
17,647.193284035,9013.94463301,0.18484898480327605
