Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,214.229065895,257.35815382,0.00928522620262636
1,172.665631056,430.02382493,0.00928522620262636
2,217.288182974,647.312047005,0.00928522620262636
3,207.198097944,854.510182858,0.00928522620262636
4,200.02354002,1054.53376198,0.00928522620262636
5,245.630275965,1300.164078,0.00928522620262636
6,212.193183184,1512.35730004,0.00959646113988096
7,231.896063089,1744.25340605,0.011652355981061301
8,240.061460972,1984.31490684,0.012652200886193338
9,212.877787828,2197.19273686,0.01414093178311196
10,199.551196098,2396.74397302,0.014895063712647868
11,204.435922146,2601.17993402,0.015450483154350892
12,247.759042978,2848.93901587,0.015560645464499784
13,215.511733055,3064.45078802,0.015560645464499784
14,194.770251989,3259.22107697,0.015560645464499784
15,208.40032196,3467.62143683,0.015560645464499784
16,217.001399994,3684.62287688,0.015560645464499784
17,198.689028978,3883.31194496,0.015560645464499784
18,233.049651146,4116.36163497,0.015560645464499784
19,205.839799166,4322.201473,0.015560645464499784
20,214.625259876,4536.82677484,0.015560645464499784
21,217.919070005,4754.74588585,0.015560645464499784
22,215.595072031,4970.34099698,0.015560645464499784
23,231.426117897,5201.76715589,0.015560645464499784
24,238.797359943,5440.56455684,0.015560645464499784
25,229.232661963,5669.79725695,0.015560645464499784
26,227.182882071,5896.98017693,0.015560645464499784
27,227.948472977,6124.92869091,0.015560645464499784
28,225.677771807,6350.60650182,0.015560645464499784
29,201.061465025,6551.66800499,0.015560645464499784
30,213.382499933,6765.05054283,0.015560645464499784
31,211.981244087,6977.03182697,0.015560645464499784
32,217.823523998,7194.85538983,0.015560645464499784
33,210.84343791,7405.69886684,0.015560645464499784
34,245.102763891,7650.80167389,0.015560645464499784
35,185.902765989,7836.70447803,0.015560645464499784
36,214.14393115,8050.84844899,0.015560645464499784
37,196.774163961,8247.62265086,0.015560645464499784
38,203.268893003,8450.89158201,0.015560645464499784
39,235.336755037,8686.22837591,0.015560645464499784
40,207.530925989,8893.75934696,0.015560645464499784
41,199.808051109,9093.56743598,0.015560645464499784
