RUN #,FINAL MODULARITY,TIME TAKEN
0,0.03645011944959446,9002.05558491
1,0.03213285193819696,9003.46126699
2,0.040695982234312846,9013.32916498
3,0.03691588124559766,9003.62349391
4,0.036571181270557127,9015.46041203
5,0.03561827250654513,9009.62186313
6,0.04805864321657732,9010.67912793
7,0.03303900329231634,9000.81024909
8,0.037999275804552736,9003.472646
9,0.031643892667559174,9002.75825
