Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,11.8230991364,14.2412381172,0.022047387366812846
1,12.6071748734,26.8484508991,0.024082240847555912
2,12.7205660343,39.5690560341,0.024416429466939258
3,11.9980580807,51.5671551228,0.02477852754803546
4,12.7397670746,64.3069601059,0.02477852754803546
5,12.6596400738,76.9666349888,0.02477852754803546
6,12.7105379105,89.6772129536,0.02477852754803546
7,11.7972500324,101.474499941,0.02477852754803546
8,11.4691851139,112.943720102,0.02477852754803546
9,11.5283679962,124.472129107,0.02477852754803546
10,13.0727989674,137.544966936,0.02477852754803546
11,12.0146608353,149.559670925,0.02477852754803546
12,10.5471811295,160.106898069,0.02477852754803546
13,11.728331089,171.83527112,0.02477852754803546
14,12.2326171398,184.067928076,0.02477852754803546
15,11.6668231487,195.73479104,0.02477852754803546
16,12.8652451038,208.600074053,0.02477852754803546
17,12.3636391163,220.963752031,0.02477852754803546
18,11.9478821754,232.911673069,0.02477852754803546
19,11.742743969,244.654454947,0.02477852754803546
20,12.0344159603,256.688911915,0.02477852754803546
21,12.6455090046,269.334460974,0.02477852754803546
22,11.8872251511,281.221722126,0.02477852754803546
23,13.3542480469,294.576008081,0.02477852754803546
24,10.8902730942,305.466320992,0.02477852754803546
25,11.0929009914,316.559262991,0.02477852754803546
26,10.8992230892,327.458523035,0.02477852754803546
27,13.6942710876,341.152831078,0.02477852754803546
28,11.2566931248,352.409564018,0.02477852754803546
29,13.6159610748,366.025563002,0.02477852754803546
30,13.5620639324,379.587666035,0.02477852754803546
31,11.4473190308,391.03502202,0.02477852754803546
32,12.0801157951,403.120657921,0.02477852754803546
33,14.0672140121,417.187911034,0.02477852754803546
34,12.3107128143,429.498663902,0.02477852754803546
35,11.8349509239,441.333653927,0.02477852754803546
36,12.0261619091,453.359854937,0.02477852754803546
37,11.5776529312,464.937546015,0.02477852754803546
38,11.1395440102,476.077126026,0.02477852754803546
39,12.5952279568,488.672395945,0.02477852754803546
40,12.1823730469,500.854805946,0.02477852754803546
41,12.406140089,513.26098299,0.02477852754803546
42,12.573348999,525.834363937,0.02477852754803546
