Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1228.25216889,1526.407552,0.032407173486671395
1,1271.33749008,2797.74512911,0.03622402025280407
2,1328.04624701,4125.79145217,0.04757018946908605
3,1454.40266395,5580.19419408,0.087020030149261
4,1870.76210594,7450.95637012,0.10940112121911938
5,2511.95422196,9962.91066504,0.1463451210373324
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1199.00111604,1480.08636403,0.039439936303085246
1,1260.08299899,2740.16943002,0.049562434669927935
2,1301.76512504,4041.93462491,0.07736479041578558
3,1560.38813806,5602.32283497,0.12885819450146188
4,2348.6218698,7950.94476986,0.1537398076895447
5,3467.77912712,11418.723963,0.16289723269985104
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1157.62090802,1436.806741,0.05621727301388747
1,1293.93839908,2730.74520397,0.05621727301388747
2,1338.40659595,4069.15187097,0.06247691012440586
3,1586.37650204,5655.52844191,0.12702870813757916
4,2336.23944497,7991.76795483,0.12892978445656803
5,3012.85408187,11004.6221058,0.15514333261250657
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1212.32301593,1500.47907591,0.030208324681619773
1,1252.32007599,2752.79921603,0.042331934898693066
2,1366.50702977,4119.30631685,0.042331934898693066
3,1444.73264599,5564.03903198,0.050966564934110024
4,1557.88287592,7121.921978,0.05608299792769606
5,1740.40424609,8862.32629204,0.06364444084951656
6,1818.82927299,10681.1556339,0.0781574148037562
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1236.67558002,1538.30542803,0.03830890990313299
1,1259.37968516,2797.68517613,0.06097956980250846
2,1344.25383806,4141.9390831,0.06097956980250846
3,1498.11762404,5640.0567801,0.09757984808696539
4,2024.19309092,7664.24993992,0.12483551385701683
5,2593.15367699,10257.4036911,0.15540758930441317
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1312.1972611,1611.03398204,0.03538156858288866
1,1433.23064899,3044.26469588,0.058774165862748515
2,1772.42811608,4816.69287896,0.09700299078007428
3,2104.62306404,6921.31601501,0.11067582691636726
4,2639.15567112,9560.47175598,0.1482840619458171
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1245.96667814,1559.11337996,0.037822019365837234
1,1275.15646601,2834.26991391,0.04653995118660239
2,1336.34286785,4170.61285186,0.05434124940076893
3,1394.26331401,5564.87623692,0.054522991951571495
4,1494.41341186,7059.28971982,0.054522991951571495
5,1518.96916413,8578.258955,0.06433256093354679
6,1691.18292785,10269.4419508,0.09504679959912457
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1176.30269313,1453.52389598,0.023581830634121562
1,1205.82638311,2659.35034394,0.040484881958117
2,1266.15385389,3925.50426888,0.040484881958117
3,1307.49983287,5233.00417185,0.04943875811619423
4,1495.48123002,6728.48547101,0.04943875811619423
5,1487.64683414,8216.13237596,0.05813933371042444
6,1500.90875912,9717.04120398,0.059913832201310066
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1246.51648903,1543.09142208,0.03320634054428571
1,1368.60330915,2911.69479322,0.05438724129786851
2,1546.58665609,4458.28151512,0.06786855048397046
3,1862.07214785,6320.35372901,0.07720094243226425
4,1952.2615509,8272.6153481,0.07720094243226425
5,1934.18569899,10206.801115,0.08112559444190241
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,1200.97131395,1482.44761705,0.038633897806520434
1,1216.08545804,2698.53313804,0.038671399347266884
2,1267.27157402,3965.8047781,0.038671399347266884
3,1348.73377919,5314.53862309,0.05454206292166013
4,1457.0746119,6771.613307,0.058523872527321066
5,1684.47143483,8456.08480692,0.10284579954280691
6,2029.14175105,10485.2266281,0.12708136190270347
