depends org.apache.hadoop.hdfs.server.namenode.INode org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.mapred.TaskTracker
depends org.apache.hadoop.mapred.TaskTracker org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.ipc.Client
depends org.apache.hadoop.ipc.Client org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.DFSClient
depends org.apache.hadoop.hdfs.DFSClient org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.DistributedFileSystem
depends org.apache.hadoop.hdfs.DistributedFileSystem org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.balancer.Balancer
depends org.apache.hadoop.hdfs.server.balancer.Balancer org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.mapred.StatusHttpServer
depends org.apache.hadoop.mapred.StatusHttpServer org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.HftpFileSystem
depends org.apache.hadoop.hdfs.HftpFileSystem org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.datanode.DataNode
depends org.apache.hadoop.hdfs.server.datanode.DataNode org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.datanode.DataStorage
depends org.apache.hadoop.hdfs.server.datanode.DataStorage org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.namenode.ListPathsServlet
depends org.apache.hadoop.hdfs.server.namenode.ListPathsServlet org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.protocol.FSConstants
depends org.apache.hadoop.hdfs.protocol.FSConstants org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.protocol.ClientProtocol
depends org.apache.hadoop.hdfs.protocol.ClientProtocol org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.namenode.FSImage
depends org.apache.hadoop.hdfs.server.namenode.FSImage org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.namenode.FSEditLog
depends org.apache.hadoop.hdfs.server.namenode.FSEditLog org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.datanode.FSDataset
depends org.apache.hadoop.hdfs.server.datanode.FSDataset org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode
depends org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.conf.Configuration
depends org.apache.hadoop.conf.Configuration org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.mapred.FileInputFormat
depends org.apache.hadoop.mapred.FileInputFormat org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.mapred.JobTracker
depends org.apache.hadoop.mapred.JobTracker org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.fs.FileSystem
depends org.apache.hadoop.fs.FileSystem org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.fs.FSInputChecker
depends org.apache.hadoop.fs.FSInputChecker org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.fs.ftp.FTPFileSystem
depends org.apache.hadoop.fs.ftp.FTPFileSystem org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.protocol.DatanodeInfo
depends org.apache.hadoop.hdfs.protocol.DatanodeInfo org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.FSNamesystem org.apache.hadoop.hdfs.tools.DFSAdmin
depends org.apache.hadoop.hdfs.tools.DFSAdmin org.apache.hadoop.hdfs.server.namenode.FSNamesystem
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.NamenodeFsck
depends org.apache.hadoop.hdfs.server.namenode.NamenodeFsck org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.FSDirectory
depends org.apache.hadoop.hdfs.server.namenode.FSDirectory org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.INodeFile
depends org.apache.hadoop.hdfs.server.namenode.INodeFile org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.server.namenode.INode
depends org.apache.hadoop.hdfs.server.namenode.INode org.apache.hadoop.hdfs.server.namenode.NameNode
depends org.apache.hadoop.hdfs.server.namenode.NameNode org.apache.hadoop.hdfs.DFSClient
depends org.apache.hadoop.hdfs.DFSClient org.apache.hadoop.hdfs.server.namenode.NameNode
